DisplayLoadField -2.515 56.675
DisplayLoad -2.518 56.665
DisplayLoadField -2.518 56.667
DisplayLoadField -2.518 56.664
DisplayBus -4.91 56.273
DisplayBusField -4.916 56.273
DisplayBus -5.073 56.251
DisplayBusField -5.086 56.252
DisplayTransmissionLine -4.91 56.278
DisplayCircuitBreaker -5.035 56.252
DisplayCircuitBreaker -4.916 56.276
DisplayBranchPie -4.976 56.264
DisplayGen -4.91 56.279
DisplayGenField -4.903 56.28
DisplayGenField -4.903 56.279
DisplayBus -4.77 56.134
DisplayBusField -4.757 56.135
DisplayBus -4.696 57.82
DisplayBusField -4.701 57.83
DisplayBus -3.82 58.042
DisplayBusField -3.826 58.042
DisplayTransmissionLine -4.696 57.824
DisplayCircuitBreaker -3.827 58.044
DisplayCircuitBreaker -4.691 57.826
DisplayBranchPie -4.259 57.935
DisplayBus -6.61 57.564
DisplayBusField -6.625 57.565
DisplayBus -6.347 57.359
DisplayBusField -6.364 57.361
DisplayTransmissionLine -6.584 57.564
DisplayCircuitBreaker -6.583 57.563
DisplayCircuitBreaker -6.341 57.36
DisplayBranchPie -6.462 57.462
DisplayLoad -6.607 57.564
DisplayLoadField -6.609 57.562
DisplayBus -4.977 55.052
DisplayBusField -4.983 55.068
DisplayBus -4.802 55.143
DisplayBusField -4.813 55.145
DisplayTransmissionLine -4.977 55.064
DisplayCircuitBreaker -4.798 55.142
DisplayCircuitBreaker -4.974 55.066
DisplayBranchPie -4.886 55.104
DisplayBus -4.589 55.461
DisplayBusField -4.595 55.468
DisplayBus -4.483 55.461
DisplayBusField -4.487 55.468
DisplayTransmissionLine -4.589 55.465
DisplayCircuitBreaker -4.587 55.465
DisplayCircuitBreaker -4.485 55.464
DisplayBranchPie -4.536 55.465
DisplayLoad -4.589 55.462
DisplayLoadField -4.6 55.464
DisplayBus -4.589 55.45
DisplayBusField -4.593 55.46
DisplayBus -4.483 55.452
DisplayBusField -4.487 55.46
DisplayTransmissionLine -4.589 55.453
DisplayCircuitBreaker -4.587 55.453
DisplayCircuitBreaker -4.485 55.453
DisplayBranchPie -4.537 55.453
DisplayLoad -4.589 55.454
DisplayLoadField -4.599 55.457
DisplayBus -4.031 56.061
DisplayBusField -4 56.064
DisplayBus -3.94 56.011
DisplayBusField -3.927 56.012
DisplayTransmissionLine -3.934 56.011
DisplayCircuitBreaker -4.006 56.06
DisplayCircuitBreaker -3.937 56.013
DisplayBranchPie -3.972 56.036
DisplayBus -3.876 56.034
DisplayBusField -3.869 56.035
DisplayTransmissionLine -3.932 56.011
DisplayCircuitBreaker -3.878 56.033
DisplayCircuitBreaker -3.929 56.013
DisplayBranchPie -3.902 56.023
DisplayBus -3.968 56.011
DisplayBusField -3.981 56.012
DisplayTransmissionLine -3.966 56.011
DisplayCircuitBreaker -4.007 56.06
DisplayCircuitBreaker -3.968 56.013
DisplayBranchPie -3.986 56.036
DisplayBus -3.897 56.034
DisplayBusField -3.904 56.035
DisplayTransmissionLine -3.962 56.011
DisplayCircuitBreaker -3.895 56.033
DisplayCircuitBreaker -3.958 56.013
DisplayBranchPie -3.926 56.023
DisplayLoad -3.962 56.011
DisplayLoadField -3.973 56.01
DisplayLoadField -3.973 56.009
DisplayLoad -3.934 56.011
DisplayLoadField -3.934 56.01
DisplayLoadField -3.934 56.009
DisplayBus -3.955 56.091
DisplayBusField -3.968 56.092
DisplayTransmissionLine -3.949 56.091
DisplayCircuitBreaker -3.951 56.09
DisplayCircuitBreaker -4.015 56.063
